x, y, z
32.14, 0.50, 38.30
30.20, 0.83, 36.00
32.11, 1.39, 38.30
32.08, 1.89, 38.30
32.69, 2.44, 39.07
28.82, 2.50, 34.47
32.61, 3.34, 39.07
31.28, 3.70, 37.54
31.22, 4.19, 37.54
30.51, 4.59, 36.77
31.07, 5.17, 37.54
30.98, 5.66, 37.54
30.92, 6.02, 37.54
30.82, 6.51, 37.54
31.34, 7.13, 38.30
37.47, 9.15, 45.96
42.92, 11.20, 52.86
41.50, 11.53, 51.32
41.93, 12.36, 52.09
42.39, 13.04, 52.86
41.57, 13.51, 52.09
41.35, 14.16, 52.09
42.34, 15.24, 53.62
41.49, 15.68, 52.86
40.64, 16.09, 52.09
40.38, 16.73, 52.09
39.98, 17.67, 52.09
40.13, 18.88, 52.86
39.18, 19.38, 52.09
38.71, 20.30, 52.09
39.34, 21.83, 53.62
37.16, 21.78, 51.32
35.07, 30.19, 55.16
47.71, 43.07, 76.60
44.35, 41.98, 72.77
42.60, 41.94, 71.24
43.66, 45.41, 75.07
41.89, 45.31, 73.54
41.17, 45.97, 73.54
39.42, 45.79, 72.01
38.33, 46.71, 72.01
37.80, 47.96, 72.77
36.47, 48.18, 72.01
40.43, 55.64, 81.97
43.37, 62.23, 90.39
43.21, 64.67, 92.69
47.82, 74.71, 105.71
46.72, 76.91, 107.25
54.88, 94.49, 130.23
52.39, 94.43, 128.70
51.73, 97.71, 131.76
49.23, 97.56, 130.23
46.75, 97.35, 128.70
45.36, 99.42, 130.23
42.75, 99.87, 129.46
40.54, 100.09, 128.70
38.57, 100.87, 128.70
36.36, 101.00, 127.93
33.96, 100.48, 126.40
32.17, 101.74, 127.16
29.99, 101.73, 126.40
27.58, 102.41, 126.40
25.88, 104.18, 127.93
23.28, 104.13, 127.16
21.10, 103.94, 126.40
18.94, 103.70, 125.63
16.59, 104.75, 126.40
14.71, 106.33, 127.93
12.54, 105.96, 127.16
10.58, 107.47, 128.70
8.52, 108.30, 129.46
6.43, 109.08, 130.23
4.29, 109.19, 130.23
1.73, 109.90, 130.99
-0.43, 110.56, 131.76
-2.62, 111.17, 132.53
-4.77, 110.46, 131.76
-7.06, 112.27, 134.06
-9.42, 114.03, 136.36
-11.66, 113.82, 136.36
-14.34, 113.51, 136.36
-16.57, 113.21, 136.36
-18.89, 113.50, 137.12
-22.18, 118.79, 144.02
-26.59, 128.40, 156.27
-32.96, 144.78, 176.96
-40.28, 156.89, 193.04
-44.04, 158.55, 196.11
-47.52, 158.89, 197.64
-51.22, 159.76, 199.94
-53.93, 157.51, 198.41
-57.18, 154.99, 196.87
-51.31, 131.09, 167.76
-51.90, 125.30, 161.64
-53.84, 123.08, 160.10
-57.05, 123.75, 162.40
-60.31, 124.34, 164.70
-118.79, -22.18, 144.02
-120.32, -24.42, 146.31
-120.02, -25.84, 146.31
-120.85, -28.01, 147.85
-122.27, -30.37, 150.14
-123.02, -32.62, 151.68
-122.49, -34.55, 151.68
-123.17, -36.83, 153.21
-128.70, -40.70, 160.87
-142.87, -47.04, 179.25
-152.43, -52.86, 192.28
-154.61, -56.35, 196.11
-154.90, -59.23, 197.64
-155.74, -62.37, 199.94
-155.93, -65.31, 201.47
-157.83, -69.04, 205.30
-159.93, -72.21, 209.13
-160.52, -75.54, 211.43
-160.47, -78.61, 212.96
-160.36, -81.71, 214.49
-159.06, -84.22, 214.49
-158.28, -87.02, 215.26
-156.90, -89.49, 215.26
-154.72, -90.68, 213.73
-153.83, -93.44, 214.49
-152.34, -95.84, 214.49
-152.43, -99.27, 216.79
-152.45, -102.73, 219.09
-153.98, -107.32, 223.68
-155.41, -111.98, 228.28
-157.18, -116.10, 232.88
-157.38, -120.11, 235.94
-158.00, -124.56, 239.77
-158.52, -129.05, 243.60
-159.91, -134.42, 248.96
-160.21, -139.02, 252.79
-160.40, -143.67, 256.62
-161.54, -148.15, 261.22
-161.06, -152.44, 264.29
-157.12, -154.67, 262.75
-155.40, -159.11, 265.05
-151.37, -161.19, 263.52
-147.96, -165.19, 264.29
-144.68, -168.06, 264.29
-140.95, -170.38, 263.52
-137.17, -172.61, 262.75
